'valeur', 'N', 'N/2', 'racine de N'
134891, 0.000001, 0.000001, 0.000001
135091, 0.000003, 0.000001, 0.000002
135291, 0.000001, 0.000001, 0.000002
135491, 0.000002, 0.000002, 0.000003
135691, 0.000001, 0.000001, 0.000001
135891, 0.000001, 0.000001, 0.000000
136091, 0.000001, 0.000001, 0.000001
136291, 0.000002, 0.000002, 0.000001
136491, 0.000001, 0.000000, 0.000001
136691, 0.000914, 0.000637, 0.000004
136891, 0.000043, 0.000004, 0.000003
137091, 0.000001, 0.000001, 0.000001
137291, 0.000000, 0.000001, 0.000001
137491, 0.000855, 0.000523, 0.000010
137691, 0.000001, 0.000001, 0.000001
137891, 0.000001, 0.000001, 0.000001
138091, 0.000001, 0.000001, 0.000001
138291, 0.000001, 0.000001, 0.000001
138491, 0.000001, 0.000001, 0.000001
138691, 0.000002, 0.000001, 0.000001
138891, 0.000001, 0.000001, 0.000001
139091, 0.000918, 0.000661, 0.000004
139291, 0.000852, 0.000445, 0.000004
139491, 0.000001, 0.000001, 0.000001
139691, 0.000002, 0.000002, 0.000002
139891, 0.000951, 0.000473, 0.000003
140091, 0.000001, 0.000000, 0.000001
140291, 0.000001, 0.000001, 0.000001
140491, 0.000001, 0.000001, 0.000001
140691, 0.000001, 0.000000, 0.000001
140891, 0.000884, 0.000449, 0.000003
141091, 0.000003, 0.000003, 0.000002
141291, 0.000001, 0.000001, 0.000001
141491, 0.000001, 0.000001, 0.000001
141691, 0.000001, 0.000001, 0.000001
141891, 0.000000, 0.000001, 0.000000
142091, 0.000002, 0.000002, 0.000002
142291, 0.000001, 0.000001, 0.000001
142491, 0.000001, 0.000001, 0.000001
142691, 0.000004, 0.000003, 0.000003
142891, 0.000001, 0.000001, 0.000001
143091, 0.000001, 0.000000, 0.000001
143291, 0.000931, 0.000497, 0.000004
143491, 0.000001, 0.000001, 0.000001
143691, 0.000001, 0.000001, 0.000001
143891, 0.000001, 0.000001, 0.000001
144091, 0.000002, 0.000001, 0.000001
144291, 0.000001, 0.000001, 0.000001
144491, 0.000001, 0.000001, 0.000001
144691, 0.000003, 0.000003, 0.000003
144891, 0.000001, 0.000000, 0.000001
145091, 0.000908, 0.000461, 0.000004
145291, 0.000001, 0.000001, 0.000001
145491, 0.000001, 0.000001, 0.000001
145691, 0.000001, 0.000001, 0.000000
145891, 0.000001, 0.000001, 0.000001
146091, 0.000001, 0.000001, 0.000001
146291, 0.000915, 0.000487, 0.000004
146491, 0.000003, 0.000003, 0.000003
146691, 0.000000, 0.000001, 0.000000
146891, 0.000918, 0.000598, 0.000004
147091, 0.000001, 0.000001, 0.000001
147291, 0.000001, 0.000001, 0.000001
147491, 0.000001, 0.000001, 0.000001
147691, 0.000002, 0.000001, 0.000002
147891, 0.000000, 0.000001, 0.000001
148091, 0.000929, 0.000843, 0.000004
148291, 0.000001, 0.000001, 0.000001
148491, 0.000001, 0.000001, 0.000001
148691, 0.001279, 0.000889, 0.000005
148891, 0.001105, 0.000529, 0.000005
149091, 0.000000, 0.000001, 0.000000
149291, 0.000003, 0.000003, 0.000003
149491, 0.000937, 0.000474, 0.000004
149691, 0.000001, 0.000001, 0.000001
149891, 0.000001, 0.000001, 0.000001
150091, 0.001185, 0.000485, 0.000004
150291, 0.000001, 0.000001, 0.000001
150491, 0.000001, 0.000001, 0.000001
150691, 0.000001, 0.000001, 0.000002
150891, 0.000001, 0.000001, 0.000001
151091, 0.001103, 0.000497, 0.000005
151291, 0.000002, 0.000001, 0.000001
151491, 0.000001, 0.000001, 0.000000
151691, 0.000001, 0.000001, 0.000001
151891, 0.000005, 0.000003, 0.000002
152091, 0.000001, 0.000001, 0.000001
152291, 0.000002, 0.000001, 0.000002
152491, 0.000002, 0.000002, 0.000002
152691, 0.000001, 0.000001, 0.000001
152891, 0.000001, 0.000002, 0.000001
153091, 0.000001, 0.000001, 0.000001
153291, 0.000001, 0.000000, 0.000001
153491, 0.000001, 0.000001, 0.000001
153691, 0.000001, 0.000001, 0.000001
153891, 0.000001, 0.000001, 0.000001
154091, 0.000001, 0.000001, 0.000001
154291, 0.000997, 0.000533, 0.000007
